qb_id,qb_name,team,season,epa_per_play,attempts,completion_rate,sack_rate
00-0031345,J.Garoppolo,SF,2019,0.14100154,576,0.6354166666666666,0.06493506493506493
00-0031345,J.Garoppolo,SF,2020,0.16575904,151,0.6225165562913907,0.06790123456790123
00-0031345,J.Garoppolo,SF,2021,0.13445507,546,0.63003663003663,0.05699481865284974
00-0031345,J.Garoppolo,SF,2022,0.18695128,326,0.6349693251533742,0.05232558139534884
00-0031345,J.Garoppolo,LV,2023,-0.08668218,183,0.6010928961748634,0.07106598984771574
00-0031345,J.Garoppolo,LA,2024,0.04468148,45,0.6,0.0625
00-0031363,M.Palardy,CAR,2019,3.8044436,1,1.0,0.0
00-0031363,M.Palardy,,2021,3.4569964,0,,
00-0031376,J.McKinnon,KC,2023,1.1053475,1,1.0,0.0
00-0031381,D.Adams,LV,2022,-1.8045641,1,0.0,0.5
00-0031382,J.Landry,CLE,2020,1.7901059,4,1.0,0.0
00-0031382,J.Landry,CLE,2021,-0.38320145,1,0.0,0.5
00-0031395,G.Gilbert,CLE,2019,-0.3532931,3,0.0,0.0
00-0031395,G.Gilbert,DAL,2020,-0.17051353,39,0.5384615384615384,0.04878048780487805
00-0031395,G.Gilbert,WAS,2021,-0.08334525,33,0.6060606060606061,0.05714285714285714
00-0031407,B.Bortles,LA,2019,-0.7143179,2,0.5,0.0
00-0031503,J.Winston,TB,2019,0.06782501,674,0.5637982195845698,0.0651872399445215
00-0031503,J.Winston,NO,2020,0.37745282,14,0.5714285714285714,0.125
00-0031503,J.Winston,NO,2021,0.17640941,172,0.5523255813953488,0.060109289617486336
00-0031503,J.Winston,NO,2022,-0.10741131,125,0.584,0.08088235294117647
00-0031503,J.Winston,NO,2023,-0.1997759,49,0.5102040816326531,0.0392156862745098
00-0031503,J.Winston,CLE,2024,-0.067629896,326,0.5552147239263804,0.06857142857142857
00-0031503,J.Winston,NYG,2025,0.26670772,69,0.5362318840579711,0.041666666666666664
00-0031543,T.Long,LAC,2021,-2.7671607,1,0.0,0.0
00-0031544,A.Cooper,CLE,2022,-4.9805026,1,0.0,0.0
00-0031588,S.Diggs,MIN,2019,-1.6695719,2,0.0,0.3333333333333333
00-0031588,S.Diggs,BUF,2021,-0.8363274,1,0.0,0.5
00-0031588,S.Diggs,HOU,2024,2.3074212,1,1.0,0.0
00-0031589,B.Hundley,ARI,2019,0.014050237,13,0.38461538461538464,0.13333333333333333
00-0031800,T.Heinicke,WAS,2020,0.12735334,67,0.5671641791044776,0.04285714285714286
00-0031800,T.Heinicke,WAS,2021,-0.052165605,532,0.6033834586466166,0.06666666666666667
00-0031800,T.Heinicke,WAS,2022,-0.040632218,276,0.5833333333333334,0.06440677966101695
00-0031800,T.Heinicke,ATL,2023,0.06507789,142,0.5211267605633803,0.05333333333333334
00-0031800,T.Heinicke,LAC,2024,-0.9025124,8,0.375,0.2727272727272727
00-0031941,J.Crowder,NYJ,2020,3.8461673,1,1.0,0.0
00-0031941,J.Crowder,NYJ,2021,-0.1489079,2,0.0,0.3333333333333333
00-0032009,A.Humphries,TEN,2020,-0.4747733,1,0.0,0.5
00-0032065,B.Pinion,ATL,2024,-0.947,1,0.0,0.0
00-0032156,T.Siemian,NYJ,2019,-0.6951391,8,0.375,0.2
00-0032156,T.Siemian,NO,2021,-0.04671528,201,0.5373134328358209,0.04285714285714286
00-0032156,T.Siemian,CHI,2022,-0.25185436,28,0.5357142857142857,0.06666666666666667
00-0032156,T.Siemian,NYJ,2023,-0.3436765,161,0.5341614906832298,0.047337278106508875
00-0032208,P.Dorsett,HOU,2022,-0.5361111,1,0.0,0.0
00-0032245,S.Mannion,MIN,2019,-0.19337599,21,0.5714285714285714,0.0
00-0032245,S.Mannion,MIN,2021,-0.27343842,38,0.5789473684210527,0.05
00-0032268,M.Mariota,TEN,2019,-0.023888096,184,0.5217391304347826,0.11961722488038277
00-0032268,M.Mariota,LV,2020,0.4756209,27,0.6296296296296297,0.0
00-0032268,M.Mariota,LV,2021,-0.3602142,2,0.5,0.0
00-0032268,M.Mariota,ATL,2022,0.002217328,326,0.5644171779141104,0.07909604519774012
00-0032268,M.Mariota,PHI,2023,-0.17017101,26,0.5769230769230769,0.10344827586206896
00-0032268,M.Mariota,WAS,2024,0.40327114,47,0.723404255319149,0.06
00-0032268,M.Mariota,WAS,2025,0.027026918,244,0.569672131147541,0.06153846153846154
00-0032399,M.Killebrew,PIT,2024,-2.6777203,1,0.0,0.0
00-0032434,B.Allen,DEN,2019,-0.22472738,93,0.41935483870967744,0.08823529411764706
00-0032434,B.Allen,CIN,2020,-0.106277,149,0.6040268456375839,0.04487179487179487
00-0032434,B.Allen,CIN,2021,-0.29356384,38,0.4473684210526316,0.09523809523809523
00-0032434,B.Allen,CIN,2022,-0.17206348,4,0.75,0.2
00-0032434,B.Allen,SF,2024,-0.5594829,32,0.53125,0.058823529411764705
00-0032434,B.Allen,TEN,2025,-0.7751094,31,0.5483870967741935,0.03125
00-0032436,J.Driskel,DET,2019,-0.0058402056,115,0.5391304347826087,0.0873015873015873
00-0032436,J.Driskel,DEN,2020,-0.1539541,76,0.4605263157894737,0.12643678160919541
00-0032436,J.Driskel,HOU,2022,0.0028739546,22,0.6363636363636364,0.08333333333333333
00-0032436,J.Driskel,CLE,2023,-0.30877823,29,0.4482758620689655,0.09375
00-0032496,M.Farley,TEN,2021,3.0622718,1,1.0,0.0
00-0032543,A.Erickson,CIN,2019,1.7389607,1,1.0,0.0
00-0032543,A.Erickson,CIN,2020,-0.48907274,1,0.0,0.0
00-0032764,D.Henry,TEN,2019,2.3090034,1,1.0,0.0
00-0032764,D.Henry,TEN,2021,1.0320903,1,1.0,0.0
00-0032764,D.Henry,TEN,2022,0.2332283,2,1.0,0.0
00-0032764,D.Henry,TEN,2023,1.5074703,3,0.6666666666666666,0.0
00-0032764,D.Henry,BAL,2025,-0.4591186,1,0.0,0.0
00-0032792,N.Sudfeld,PHI,2020,-0.29666606,14,0.35714285714285715,0.125
00-0032792,N.Sudfeld,DET,2022,-0.89872783,1,0.0,0.5
00-0032943,R.Dixon,NYG,2019,-0.947,1,0.0,0.0
00-0032943,R.Dixon,NYG,2020,-2.573928,1,0.0,0.0
00-0032943,R.Dixon,NYG,2021,-2.8510377,1,0.0,0.0
00-0032943,R.Dixon,LA,2022,2.693377,2,1.0,0.0
00-0032943,R.Dixon,DEN,2024,0.795999,2,1.0,0.0
00-0032950,C.Wentz,PHI,2019,0.02946507,650,0.5984615384615385,0.055232558139534885
00-0032950,C.Wentz,PHI,2020,-0.13026316,492,0.5101626016260162,0.09225092250922509
00-0032950,C.Wentz,IND,2021,0.0236761,552,0.5833333333333334,0.0547945205479452
00-0032950,C.Wentz,WAS,2022,-0.10921712,309,0.5566343042071198,0.07761194029850746
00-0032950,C.Wentz,LA,2023,0.26002222,27,0.6296296296296297,0.06896551724137931
00-0032950,C.Wentz,KC,2024,-0.291886,23,0.5217391304347826,0.14814814814814814
00-0032950,C.Wentz,MIN,2025,0.042718034,188,0.5851063829787234,0.09178743961352658
00-0033009,T.Boyd,CIN,2020,0.36795637,2,0.5,0.0
00-0033009,T.Boyd,CIN,2021,3.1924436,1,1.0,0.0
00-0033009,T.Boyd,CIN,2022,0.3036443,2,0.5,0.3333333333333333
00-0033009,T.Boyd,CIN,2023,-6.5270686,1,0.0,0.0
00-0033009,T.Boyd,TEN,2024,-0.43441603,1,0.0,0.0
00-0033045,E.Elliott,DAL,2021,-0.793114,1,1.0,0.0
00-0033077,D.Prescott,DAL,2019,0.19740164,620,0.6258064516129033,0.03576982892690513
00-0033077,D.Prescott,DAL,2020,0.121347584,233,0.648068669527897,0.0411522633744856
00-0033077,D.Prescott,DAL,2021,0.14406525,678,0.6386430678466076,0.04908835904628331
00-0033077,D.Prescott,DAL,2022,0.110823914,486,0.6358024691358025,0.04330708661417323
00-0033077,D.Prescott,DAL,2023,0.18865713,695,0.6489208633093525,0.058265582655826556
00-0033077,D.Prescott,DAL,2024,-0.054609317,307,0.6026058631921825,0.06402439024390244
00-0033077,D.Prescott,DAL,2025,0.1720386,630,0.6412698412698413,0.046898638426626324
00-0033106,J.Goff,LA,2019,0.09499713,649,0.6070878274268104,0.03278688524590164
00-0033106,J.Goff,LA,2020,0.019638486,627,0.6379585326953748,0.04420731707317073
00-0033106,J.Goff,DET,2021,-0.06008722,529,0.6275992438563327,0.06205673758865248
00-0033106,J.Goff,DET,2022,0.15671141,610,0.6262295081967213,0.036334913112164295
00-0033106,J.Goff,DET,2023,0.12312144,754,0.6419098143236074,0.04677623261694058
00-0033106,J.Goff,DET,2024,0.25772628,607,0.6803953871499177,0.0515625
00-0033106,J.Goff,DET,2025,0.17668878,614,0.6400651465798045,0.05828220858895705
00-0033119,J.Brissett,IND,2019,0.017629847,472,0.576271186440678,0.05410821643286573
00-0033119,J.Brissett,IND,2020,-0.5522168,10,0.2,0.16666666666666666
00-0033119,J.Brissett,MIA,2021,-0.08368136,244,0.5778688524590164,0.07224334600760456
00-0033119,J.Brissett,CLE,2022,0.075824134,391,0.6035805626598465,0.05783132530120482
00-0033119,J.Brissett,WAS,2023,0.7226974,23,0.782608695652174,0.0
00-0033119,J.Brissett,NE,2024,-0.1669037,179,0.5307262569832403,0.09137055837563451
00-0033119,J.Brissett,ARI,2025,-0.0011176191,530,0.5943396226415094,0.07504363001745201
00-0033251,Z.Pascal,IND,2019,-0.7042251,1,0.0,0.0
00-0033251,Z.Pascal,IND,2020,-0.5561132,1,0.0,0.0
00-0033269,R.Sanchez,IND,2025,3.5125947,1,1.0,0.0
00-0033275,P.Walker,CAR,2020,-0.3741083,60,0.5333333333333333,0.0625
00-0033275,P.Walker,CAR,2021,-0.15358853,73,0.4931506849315068,0.0875
00-0033275,P.Walker,CAR,2022,-0.17544568,113,0.5575221238938053,0.058333333333333334
00-0033275,P.Walker,CLE,2023,-0.28556836,121,0.4462809917355372,0.08333333333333333
00-0033280,C.McCaffrey,CAR,2019,-0.95760745,2,0.0,0.0
00-0033280,C.McCaffrey,SF,2022,1.6169031,2,0.5,0.0
00-0033280,C.McCaffrey,SF,2025,-0.7708971,1,0.0,0.0
00-0033307,K.Bourne,NE,2021,2.347831,1,1.0,0.0
00-0033307,K.Bourne,NE,2024,-1.3199655,1,0.0,0.0
00-0033319,N.Mullens,SF,2020,0.009343049,347,0.6080691642651297,0.05191256830601093
00-0033319,N.Mullens,CLE,2021,0.07941313,29,0.6896551724137931,0.0
00-0033319,N.Mullens,MIN,2022,0.47148594,25,0.84,0.0
